date,diferenca_lula_bolsonaro
2020-01-15,-1.4466082701610148
2020-01-16,-1.4699686455632026
2020-01-17,-1.4957184148924405
2020-01-18,-1.5120906109692172
2020-01-19,-1.5343149137066376
2020-01-20,-1.559556921499805
2020-01-21,-1.5877425047728693
2020-01-22,-1.5894975435053489
2020-01-23,-1.620782054334299
2020-01-24,-1.6424292695610312
2020-01-25,-1.6677510208988124
2020-01-26,-1.6905132235050644
2020-01-27,-1.704987652325336
2020-01-28,-1.722008793854929
2020-01-29,-1.752479533395345
2020-01-30,-1.781961639111735
2020-01-31,-1.8261472692640304
2020-02-01,-1.858523514197732
2020-02-02,-1.8693158606691045
2020-02-03,-1.8885115657987583
2020-02-04,-1.9013862093103704
2020-02-05,-1.9259062295459657
2020-02-06,-1.9547108040873875
2020-02-07,-1.968458720278761
2020-02-08,-1.9818332251609228
2020-02-09,-2.0017790538481286
2020-02-10,-2.01766186006336
2020-02-11,-2.0260209747952693
2020-02-12,-2.052195524948406
2020-02-13,-2.070603177187209
2020-02-14,-2.099655127307809
2020-02-15,-2.113657437030959
2020-02-16,-2.1301563292381296
2020-02-17,-2.147672154281977
2020-02-18,-2.1561886836487574
2020-02-19,-2.169970576340326
2020-02-20,-2.165058132475039
2020-02-21,-2.183147716421906
2020-02-22,-2.2012135241667785
2020-02-23,-2.227053373519329
2020-02-24,-2.2462343048484747
2020-02-25,-2.248194636508316
2020-02-26,-2.2598486622821703
2020-02-27,-2.268285896097044
2020-02-28,-2.292121405999314
2020-02-29,-2.305047196594192
2020-03-01,-2.315162440042023
2020-03-02,-2.3166362109086904
2020-03-03,-2.323303992919591
2020-03-04,-2.329652295722465
2020-03-05,-2.345418464939801
2020-03-06,-2.366321288996822
2020-03-07,-2.382019680194091
2020-03-08,-2.3945897270928107
2020-03-09,-2.404339824110352
2020-03-10,-2.411852685566764
2020-03-11,-2.421717878596585
2020-03-12,-2.425953930694728
2020-03-13,-2.438837005612857
2020-03-14,-2.45504006388024
2020-03-15,-2.462103472164543
2020-03-16,-2.463358263172882
2020-03-17,-2.4853523445933803
2020-03-18,-2.4966325174685693
2020-03-19,-2.512882075298052
2020-03-20,-2.522100114772865
2020-03-21,-2.532592782725029
2020-03-22,-2.548341756168135
2020-03-23,-2.567706575200553
2020-03-24,-2.577140516664727
2020-03-25,-2.596749234743154
2020-03-26,-2.6204838807849065
2020-03-27,-2.642209939624262
2020-03-28,-2.6430909173927724
2020-03-29,-2.641108982047712
2020-03-30,-2.6569018313058805
2020-03-31,-2.671492684188234
2020-04-01,-2.6910404735298776
2020-04-02,-2.688557310103402
2020-04-03,-2.70573209499392
2020-04-04,-2.70864999774993
2020-04-05,-2.724966140921637
2020-04-06,-2.739056620030521
2020-04-07,-2.766770082475137
2020-04-08,-2.800917746195072
2020-04-09,-2.823001737234716
2020-04-10,-2.842167238634463
2020-04-11,-2.872504323583108
2020-04-12,-2.8798893301367663
2020-04-13,-2.883003830896282
2020-04-14,-2.9051320898425708
2020-04-15,-2.922017137803575
2020-04-16,-2.9425451035621144
2020-04-17,-2.984442721487902
2020-04-18,-2.9891705325748035
2020-04-19,-3.00930990053736
2020-04-20,-3.0353423771423493
2020-04-21,-3.071182857001137
2020-04-22,-3.096708063884339
2020-04-23,-3.1327094245220977
2020-04-24,-3.165773884937515
2020-04-25,-3.176843047951184
2020-04-26,-3.184815758291016
2020-04-27,-3.207026578864788
2020-04-28,-3.217589344583516
2020-04-29,-3.2544606287089515
2020-04-30,-3.287846526064285
2020-05-01,-3.3654386191283194
2020-05-02,-3.4173849647561987
2020-05-03,-3.4794913541115235
2020-05-04,-3.5478120756243285
2020-05-05,-3.618986552497425
2020-05-06,-3.678432462206296
2020-05-07,-3.735701025182955
2020-05-08,-3.806407696310551
2020-05-09,-3.873908922370365
2020-05-10,-3.931941537253273
2020-05-11,-3.9886614075555897
2020-05-12,-4.042093504247198
2020-05-13,-4.107328861285488
2020-05-14,-4.165075354690085
2020-05-15,-4.222166451239758
2020-05-16,-4.291029234418566
2020-05-17,-4.350933659677441
2020-05-18,-4.427015526476456
2020-05-19,-4.483898394385662
2020-05-20,-4.562710545762307
2020-05-21,-4.645895991214147
2020-05-22,-4.697370450799397
2020-05-23,-4.756408870182586
2020-05-24,-4.810754999350323
2020-05-25,-4.86736168134119
2020-05-26,-4.939300915514153
2020-05-27,-5.009136238352792
2020-05-28,-5.076521965868686
2020-05-29,-5.1426456642301694
2020-05-30,-5.205974165659171
2020-05-31,-5.2680842232584055
2020-06-01,-5.337400853230463
2020-06-02,-5.403138854459076
2020-06-03,-5.457137635124333
2020-06-04,-5.527152953913831
2020-06-05,-5.592248536548034
2020-06-06,-5.651830311470455
2020-06-07,-5.72379057769167
2020-06-08,-5.793147641486875
2020-06-09,-5.865492580288237
2020-06-10,-5.92691591058982
2020-06-11,-5.991286285125035
2020-06-12,-6.043417752609294
2020-06-13,-6.076874749652998
2020-06-14,-6.147108051169532
2020-06-15,-6.207619204145633
2020-06-16,-6.27079104808913
2020-06-17,-6.322307410313819
2020-06-18,-6.394691061935021
2020-06-19,-6.46503862887408
2020-06-20,-6.517397426353647
2020-06-21,-6.584142329084191
2020-06-22,-6.660091630337909
2020-06-23,-6.718824587905768
2020-06-24,-6.786264963684072
2020-06-25,-6.863118262278157
2020-06-26,-6.931416945804603
2020-06-27,-6.9962421381206354
2020-06-28,-7.073317874564815
2020-06-29,-7.137005416058372
2020-06-30,-7.201529141322133
2020-07-01,-7.261921527064388
2020-07-02,-7.31882977739097
2020-07-03,-7.381020941421518
2020-07-04,-7.437518592342208
2020-07-05,-7.504603407435173
2020-07-06,-7.5673932292407216
2020-07-07,-7.638655268770513
2020-07-08,-7.724373803837782
2020-07-09,-7.79239078022583
2020-07-10,-7.861065017155337
2020-07-11,-7.926901657864935
2020-07-12,-7.984247635960909
2020-07-13,-8.036066805442704
2020-07-14,-8.084657411139833
2020-07-15,-8.147721550977035
2020-07-16,-8.20577295996755
2020-07-17,-8.26985871505152
2020-07-18,-8.32374996890588
2020-07-19,-8.374410867237309
2020-07-20,-8.433511844575161
2020-07-21,-8.488577205479714
2020-07-22,-8.549996601207397
2020-07-23,-8.626947088340575
2020-07-24,-8.67691822063156
2020-07-25,-8.754605041483547
2020-07-26,-8.826626998082169
2020-07-27,-8.893659402504785
2020-07-28,-8.955534388599489
2020-07-29,-9.016637408791794
2020-07-30,-9.094288850603284
2020-07-31,-9.16308165056614
2020-08-01,-9.225611786676367
2020-08-02,-9.28595187619123
2020-08-03,-9.349376800913376
2020-08-04,-9.405410349870449
2020-08-05,-9.472006798458017
2020-08-06,-9.546967947735688
2020-08-07,-9.616515213215074
2020-08-08,-9.685179445175514
2020-08-09,-9.76058702628474
2020-08-10,-9.811430021135743
2020-08-11,-9.883893145555156
2020-08-12,-9.94215065025262
2020-08-13,-9.998020296293172
2020-08-14,-10.063431947990832
2020-08-15,-10.13170984358375
2020-08-16,-10.20390316962661
2020-08-17,-10.27652920506685
2020-08-18,-10.341704065203494
2020-08-19,-10.401375533337614
2020-08-20,-10.462303177027891
2020-08-21,-10.541269894238614
2020-08-22,-10.60806116753248
2020-08-23,-10.667805359379646
2020-08-24,-10.727010846454668
2020-08-25,-10.791167589299192
2020-08-26,-10.862854047199036
2020-08-27,-10.922963683754292
2020-08-28,-10.982793010708267
2020-08-29,-11.044630458081553
2020-08-30,-11.091898339834213
2020-08-31,-11.141769904558128
2020-09-01,-11.19612763936004
2020-09-02,-11.257768740241517
2020-09-03,-11.307800450753144
2020-09-04,-11.366762522993277
2020-09-05,-11.425668273256452
2020-09-06,-11.480214339630422
2020-09-07,-11.5348561587485
2020-09-08,-11.584889901272852
2020-09-09,-11.648471263793407
2020-09-10,-11.710713695990355
2020-09-11,-11.780486626889829
2020-09-12,-11.817977129282172
2020-09-13,-11.873891204231692
2020-09-14,-11.933090283567854
2020-09-15,-11.982976345204062
2020-09-16,-12.029404313231169
2020-09-17,-11.984136754517586
2020-09-18,-11.95000732630923
2020-09-19,-11.909443676052447
2020-09-20,-11.866770775676793
2020-09-21,-11.82273992852777
2020-09-22,-11.78695259882478
2020-09-23,-11.74094231865548
2020-09-24,-11.703885853938946
2020-09-25,-11.666641057440684
2020-09-26,-11.62111693073535
2020-09-27,-11.582897452309089
2020-09-28,-11.539194522421358
2020-09-29,-11.506839185323376
2020-09-30,-11.478942924477575
2020-10-01,-11.442862716341835
2020-10-02,-11.401932855594184
2020-10-03,-11.361629654888034
2020-10-04,-11.31449057856074
2020-10-05,-11.273989928990236
2020-10-06,-11.23770479390608
2020-10-07,-11.19251575955014
2020-10-08,-11.1548755270808
2020-10-09,-11.149016062814852
2020-10-10,-11.12183318440563
2020-10-11,-11.10417419187566
2020-10-12,-11.093322936220464
2020-10-13,-11.0754610675976
2020-10-14,-11.070725248118524
2020-10-15,-11.0537377302498
2020-10-16,-11.044790811760748
2020-10-17,-11.017403234307697
2020-10-18,-10.996962537888557
2020-10-19,-10.987035894941013
2020-10-20,-10.981115453814724
2020-10-21,-10.967845939241805
2020-10-22,-10.969897020415978
2020-10-23,-10.949500131699082
2020-10-24,-10.941993662344217
2020-10-25,-10.91823722456344
2020-10-26,-10.913693986682173
2020-10-27,-10.899911282105904
2020-10-28,-10.8840144464621
2020-10-29,-10.85015376297224
2020-10-30,-10.84492358890646
2020-10-31,-10.829849018582667
2020-11-01,-10.812412440459202
2020-11-02,-10.791332419206014
2020-11-03,-10.761114452399369
2020-11-04,-10.741106591951612
2020-11-05,-10.721647867917252
2020-11-06,-10.710465276592744
2020-11-07,-10.704594328163594
2020-11-08,-10.674667156477591
2020-11-09,-10.65368854607723
2020-11-10,-10.645726200814432
2020-11-11,-10.625505026052693
2020-11-12,-10.621305610936496
2020-11-13,-10.602747832598784
2020-11-14,-10.589195738556302
2020-11-15,-10.568791749170485
2020-11-16,-10.537337068197218
2020-11-17,-10.519907545604642
2020-11-18,-10.495568474728492
2020-11-19,-10.48042015136371
2020-11-20,-10.451699207933334
2020-11-21,-10.419407819980757
2020-11-22,-10.407635349967247
2020-11-23,-10.394691291988876
2020-11-24,-10.38872653942832
2020-11-25,-10.366880573833935
2020-11-26,-10.344007768802111
2020-11-27,-10.334959052921938
2020-11-28,-10.319838011929804
2020-11-29,-10.300735283667857
2020-11-30,-10.29694195683907
2020-12-01,-10.275692863107864
2020-12-02,-10.25328604361663
2020-12-03,-10.220879966584626
2020-12-04,-10.231570739570104
2020-12-05,-10.253387349781494
2020-12-06,-10.266199482120223
2020-12-07,-10.268366791925128
2020-12-08,-10.29072984995635
2020-12-09,-10.299617585706644
2020-12-10,-10.3176441962798
2020-12-11,-10.339863701762397
2020-12-12,-10.356943361502076
2020-12-13,-10.362784436535817
2020-12-14,-10.38441860287881
2020-12-15,-10.416735909686924
2020-12-16,-10.438386809369607
2020-12-17,-10.463592051397722
2020-12-18,-10.475189703327604
2020-12-19,-10.481684816619442
2020-12-20,-10.498185912022397
2020-12-21,-10.511509695712142
2020-12-22,-10.522970652926738
2020-12-23,-10.54562051487096
2020-12-24,-10.560647200208564
2020-12-25,-10.57491918911746
2020-12-26,-10.591759573302102
2020-12-27,-10.599924696624305
2020-12-28,-10.62805997895979
2020-12-29,-10.634827311793618
2020-12-30,-10.66559535011459
2020-12-31,-10.684461197831972
2021-01-01,-10.693929728777317
2021-01-02,-10.70980335416169
2021-01-03,-10.716533926378126
2021-01-04,-10.743758050606708
2021-01-05,-10.766341284205623
2021-01-06,-10.790287620070828
2021-01-07,-10.806762210037371
2021-01-08,-10.824974483033175
2021-01-09,-10.844802170080946
2021-01-10,-10.861726351533544
2021-01-11,-10.880308407021964
2021-01-12,-10.885945882918891
2021-01-13,-10.897665396732217
2021-01-14,-10.899383443094605
2021-01-15,-10.900867597331686
2021-01-16,-10.924852499169468
2021-01-17,-10.960587453962216
2021-01-18,-10.981741214463964
2021-01-19,-10.9977206985401
2021-01-20,-11.017262028183126
2021-01-21,-11.0459506602064
2021-01-22,-11.05832776319934
2021-01-23,-11.078790507046868
2021-01-24,-11.10153537664958
2021-01-25,-11.109439559896014
2021-01-26,-11.113042668978592
2021-01-27,-11.129609768273411
2021-01-28,-11.147273945148063
2021-01-29,-10.993856935880054
2021-01-30,-10.816127671619473
2021-01-31,-10.661977244550156
2021-02-01,-10.504402249621304
2021-02-02,-10.331128969034369
2021-02-03,-10.187404600836985
2021-02-04,-10.032275252117977
2021-02-05,-9.8671747967368
2021-02-06,-9.68958604849329
2021-02-07,-9.530682587589762
2021-02-08,-9.370145903137152
2021-02-09,-9.194856832934416
2021-02-10,-9.02727414336306
2021-02-11,-8.871952452217705
2021-02-12,-8.71987382295212
2021-02-13,-8.54484871971476
2021-02-14,-8.380785606286377
2021-02-15,-8.232896919764524
2021-02-16,-8.056273826820352
2021-02-17,-7.888177226318298
2021-02-18,-7.725534067738543
2021-02-19,-7.5513188646061025
2021-02-20,-7.393995916842691
2021-02-21,-7.260690082287027
2021-02-22,-7.103286068937109
2021-02-23,-6.954941709003688
2021-02-24,-6.801570239179927
2021-02-25,-6.636075888610371
2021-02-26,-6.464951727218171
2021-02-27,-6.306735072515195
2021-02-28,-6.148269382794933
2021-03-01,-5.995068215861313
2021-03-02,-5.840672818832161
2021-03-03,-5.684299453930997
2021-03-04,-5.532305664021759
2021-03-05,-5.364857195117807
2021-03-06,-5.202236768003747
2021-03-07,-5.039582707347538
2021-03-08,-4.879980983021735
2021-03-09,-4.702785068300162
2021-03-10,-4.54189026479753
2021-03-11,-4.383329763677587
2021-03-12,-4.032167401880528
2021-03-13,-3.685320471721568
2021-03-14,-3.3312799917658573
2021-03-15,-2.963242553075513
2021-03-16,-2.594195805106704
2021-03-17,-2.2440105423400603
2021-03-18,-2.026838850996078
2021-03-19,-1.8190940442474075
2021-03-20,-1.5965155126117736
2021-03-21,-1.36976519700314
2021-03-22,-1.141980795249573
2021-03-23,-0.906629710380784
2021-03-24,-0.7040026370432315
2021-03-25,-0.495237114778142
2021-03-26,-0.27270966839977
2021-03-27,-0.0499453682203707
2021-03-28,0.1587191274584753
2021-03-29,0.3808538605345788
2021-03-30,0.613585650072551
2021-03-31,0.8416195127269503
2021-04-01,1.0370363093940045
2021-04-02,1.218905881361735
2021-04-03,1.4032705675664374
2021-04-04,1.589201739041286
2021-04-05,1.793420587847706
2021-04-06,1.980039891164808
2021-04-07,2.18902712186214
2021-04-08,2.3739667052031663
2021-04-09,2.572038553178018
2021-04-10,2.7589210849891828
2021-04-11,2.9444420356087733
2021-04-12,3.137990331245696
2021-04-13,3.336472518114469
2021-04-14,3.5271593699002963
2021-04-15,3.600419796531199
2021-04-16,3.659509982157502
2021-04-17,3.7310817826962577
2021-04-18,3.792583042728943
2021-04-19,3.845722338487336
2021-04-20,3.9217689458323406
2021-04-21,3.99366493972488
2021-04-22,4.067120888880282
2021-04-23,4.16973067623929
2021-04-24,4.275818486367449
2021-04-25,4.374681515364166
2021-04-26,4.491072477332935
2021-04-27,4.608907924893977
2021-04-28,4.705269191086536
2021-04-29,4.812814499159856
2021-04-30,4.927204866006406
2021-05-01,5.018672878474398
2021-05-02,5.129401255280996
2021-05-03,5.232280831704131
2021-05-04,5.342515403637705
2021-05-05,5.4540194468219525
2021-05-06,5.568114481974476
2021-05-07,5.683874717649637
2021-05-08,5.888553995876116
2021-05-09,6.080566821802599
2021-05-10,6.273252313731781
2021-05-11,6.4656802457922
2021-05-12,6.666052358108168
2021-05-13,6.598056347960515
2021-05-14,6.535022935195279
2021-05-15,6.461794048549137
2021-05-16,6.391631000705786
2021-05-17,6.342217341126577
2021-05-18,6.288594748589496
2021-05-19,6.213870736334052
2021-05-20,6.155520425826069
2021-05-21,6.209870891613328
2021-05-22,6.261153040384812
2021-05-23,6.301226564518686
2021-05-24,6.350302030008457
2021-05-25,6.399108256121856
2021-05-26,6.455821125158543
2021-05-27,6.506280807744339
2021-05-28,6.56990050419828
2021-05-29,6.618509451332493
2021-05-30,6.668004414790595
2021-05-31,6.727073018099617
2021-06-01,6.779348651528807
2021-06-02,6.839370732819141
2021-06-03,6.894017195434508
2021-06-04,6.950374119300086
2021-06-05,7.002603834701972
2021-06-06,7.057985526125357
2021-06-07,7.090365207781424
2021-06-08,7.130937332256089
2021-06-09,7.184317435611604
2021-06-10,7.265664155188482
2021-06-11,7.378912817363421
2021-06-12,7.493712055630958
2021-06-13,7.592476824165907
2021-06-14,7.70340358704275
2021-06-15,7.791237463099591
2021-06-16,7.89833798730502
2021-06-17,7.996704278599026
2021-06-18,8.10742410164238
2021-06-19,8.211351208031616
2021-06-20,8.325060417674365
2021-06-21,8.434617697632781
2021-06-22,8.544583561035154
2021-06-23,8.645633522889796
2021-06-24,8.763542776175463
2021-06-25,9.021977539393117
2021-06-26,9.28230812846538
2021-06-27,9.539028722506288
2021-06-28,9.804521222253086
2021-06-29,10.078100736078898
2021-06-30,10.349043896465506
2021-07-01,10.624634847545348
2021-07-02,10.891516247235916
2021-07-03,11.160523520089717
2021-07-04,11.427359142297814
2021-07-05,11.68963624777208
2021-07-06,11.943145683434548
2021-07-07,12.204367282382506
2021-07-08,12.40483851464123
2021-07-09,12.485784365401646
2021-07-10,12.564069597970068
2021-07-11,12.642828757746727
2021-07-12,12.719904349153218
2021-07-13,12.792806258052362
2021-07-14,12.865619996746249
2021-07-15,12.926586569594452
2021-07-16,12.994366029424302
2021-07-17,13.079001958588387
2021-07-18,13.157215394322222
2021-07-19,13.235865726039297
2021-07-20,13.300492284909213
2021-07-21,13.370247610106624
2021-07-22,13.4529637219634
2021-07-23,13.520376388424346
2021-07-24,13.605835102712147
2021-07-25,13.688500107133828
2021-07-26,13.756424488743932
2021-07-27,13.83002984211562
2021-07-28,13.897419240945204
2021-07-29,13.979910467654928
2021-07-30,14.06360577618647
2021-07-31,14.137669141049535
2021-08-01,14.214354016498715
2021-08-02,14.277612520902686
2021-08-03,14.34420474092756
2021-08-04,14.424769738292255
2021-08-05,14.467361638318934
2021-08-06,14.499965040296782
2021-08-07,14.537682125191598
2021-08-08,14.576058566474485
2021-08-09,14.613464932406345
2021-08-10,14.655753125623445
2021-08-11,14.68926191727899
2021-08-12,14.729199411445052
2021-08-13,14.75662322262459
2021-08-14,14.803353012300178
2021-08-15,14.86466194061542
2021-08-16,14.930751847029647
2021-08-17,14.973092900266838
2021-08-18,15.041146119481803
2021-08-19,15.095532212685498
2021-08-20,15.151066428149711
2021-08-21,15.206197779630616
2021-08-22,15.2723780295176
2021-08-23,15.318875334158218
2021-08-24,15.374770169667322
2021-08-25,15.43188519598786
2021-08-26,15.476883762067946
2021-08-27,15.526581821357729
2021-08-28,15.59187473637305
2021-08-29,15.66977592491967
2021-08-30,15.724226885976474
2021-08-31,15.777299399491325
2021-09-01,15.83756699658801
2021-09-02,15.87476585279369
2021-09-03,15.930508758030465
2021-09-04,15.978383727318713
2021-09-05,16.01988309499521
2021-09-06,16.062932306273495
2021-09-07,16.106387617708922
2021-09-08,16.15265378069178
2021-09-09,16.20096783910349
2021-09-10,16.235125363212184
2021-09-11,16.278275333370885
2021-09-12,16.330808619950464
2021-09-13,16.38936213834934
2021-09-14,16.428881597223782
2021-09-15,16.46943168709324
2021-09-16,16.42003270897116
2021-09-17,16.390478286435894
2021-09-18,16.347466265986952
2021-09-19,16.320466967664384
2021-09-20,16.265187158280366
2021-09-21,16.210018660160145
2021-09-22,16.153905019035122
2021-09-23,16.094662633215894
2021-09-24,16.047200984489162
2021-09-25,15.988915911696717
2021-09-26,15.921861437130126
2021-09-27,15.856453571127847
2021-09-28,15.80179772749498
2021-09-29,15.748718652790036
2021-09-30,15.681293500085228
2021-10-01,15.60821403429771
2021-10-02,15.532446473067694
2021-10-03,15.4627739257868
2021-10-04,15.390149519099005
2021-10-05,15.314221050780258
2021-10-06,15.24877876201358
2021-10-07,15.187616314275363
2021-10-08,15.112392441461502
2021-10-09,15.049745677006584
2021-10-10,14.982497480537903
2021-10-11,14.917993304949018
2021-10-12,14.846161483870777
2021-10-13,14.774776881440989
2021-10-14,14.709875633323325
2021-10-15,14.638804029792407
2021-10-16,14.56736182872134
2021-10-17,14.490882459580227
2021-10-18,14.4268048952678
2021-10-19,14.35315226941567
2021-10-20,14.278585255205416
2021-10-21,14.215973369301622
2021-10-22,14.16430723524175
2021-10-23,14.096483553558272
2021-10-24,14.02795664198644
2021-10-25,13.958397217450766
2021-10-26,13.89374486722107
2021-10-27,13.815288702339837
2021-10-28,13.865042449025552
2021-10-29,13.858382389673164
2021-10-30,13.871886838763452
2021-10-31,13.88585845111912
2021-11-01,13.888870937350376
2021-11-02,13.890793086770111
2021-11-03,13.895543766039191
2021-11-04,13.89731664027899
2021-11-05,13.901624266334087
2021-11-06,13.909657226963414
2021-11-07,13.90960593999246
2021-11-08,13.920426172626932
2021-11-09,13.929772535508878
2021-11-10,13.940206685129995
2021-11-11,13.949301938372273
2021-11-12,14.072903666416082
2021-11-13,14.207006148021364
2021-11-14,14.31806433297752
2021-11-15,14.43322209656851
2021-11-16,14.569234755624931
2021-11-17,14.693711707364074
2021-11-18,14.819027004906264
2021-11-19,14.953182487353205
2021-11-20,15.07737731539996
2021-11-21,15.201360797409862
2021-11-22,15.330613584730198
2021-11-23,15.473852442865102
2021-11-24,15.592768468552324
2021-11-25,15.733040118547503
2021-11-26,15.882335533073691
2021-11-27,16.024965465439507
2021-11-28,16.179701339200744
2021-11-29,16.35179586864644
2021-11-30,16.499748190444652
2021-12-01,16.644850044400876
2021-12-02,16.79427693983248
2021-12-03,16.936017845148882
2021-12-04,17.0915376226178
2021-12-05,17.259677674563942
2021-12-06,17.40181972177469
2021-12-07,17.542453247207447
2021-12-08,17.692517722410923
2021-12-09,17.857005409701262
2021-12-10,17.997449064157703
2021-12-11,18.13422891251805
2021-12-12,18.27236364540597
2021-12-13,18.42052163730204
2021-12-14,18.56537922226229
2021-12-15,18.7171184497879
2021-12-16,18.876013719746847
2021-12-17,18.79781802121101
2021-12-18,18.71372718777722
2021-12-19,18.640454347330103
2021-12-20,18.57619637413232
2021-12-21,18.488861558218943
2021-12-22,18.483009631500604
2021-12-23,18.46791665546989
2021-12-24,18.477515934167634
2021-12-25,18.456630455196905
2021-12-26,18.44648586089757
2021-12-27,18.43594955824252
2021-12-28,18.43734870022288
2021-12-29,18.42670306647368
2021-12-30,18.42265878532463
2021-12-31,18.428964158750645
2022-01-01,18.4171927969387
2022-01-02,18.407351624672827
2022-01-03,18.40519392089678
2022-01-04,18.4136416945617
2022-01-05,18.4043881882838
2022-01-06,18.397922917758947
2022-01-07,18.38639669795907
2022-01-08,18.385833646459123
2022-01-09,18.382628118398184
2022-01-10,18.37689556163301
2022-01-11,18.360956697034645
2022-01-12,18.353503969003604
2022-01-13,18.275378903132204
2022-01-14,18.236580143591485
2022-01-15,18.192640838189067
2022-01-16,18.14946172128961
2022-01-17,18.11159959553796
2022-01-18,18.07093543761899
2022-01-19,18.03802851751168
2022-01-20,17.99988676688633
2022-01-21,17.960757659729854
2022-01-22,17.92862758009043
2022-01-23,17.897111770139073
2022-01-24,17.867709076311154
2022-01-25,17.835141519286342
2022-01-26,17.73847068628898
2022-01-27,17.649426673948415
2022-01-28,17.56059885115643
2022-01-29,17.458288674306363
2022-01-30,17.362423195519188
2022-01-31,17.272122604074823
2022-02-01,17.177937287455396
2022-02-02,17.138509459035106
2022-02-03,17.070648733336732
2022-02-04,17.030091856306324
2022-02-05,16.975954034961344
2022-02-06,16.94034588279328
2022-02-07,16.88825936191786
2022-02-08,16.85235390976084
2022-02-09,16.801766395994267
2022-02-10,16.699655456565402
2022-02-11,16.582811345676035
2022-02-12,16.48156109942286
2022-02-13,16.381748160783086
2022-02-14,16.270617167741673
2022-02-15,16.171185349774987
2022-02-16,16.127108363948338
2022-02-17,16.074099969580406
2022-02-18,16.037991291775047
2022-02-19,16.00358849091878
2022-02-20,15.95326540083084
2022-02-21,15.906889874027772
2022-02-22,15.86871689319517
2022-02-23,15.862133770334635
2022-02-24,15.779349492527269
2022-02-25,15.696593121868585
2022-02-26,15.59692541262026
2022-02-27,15.525855117320956
2022-02-28,15.449855785004754
2022-03-01,15.360054637250665
2022-03-02,15.35100003621996
2022-03-03,15.337274476284378
2022-03-04,15.324138713959275
2022-03-05,15.308298866431834
2022-03-06,15.309428649150224
2022-03-07,15.325918341223389
2022-03-08,15.317300596740644
2022-03-09,15.305642142715431
2022-03-10,15.249292949045923
2022-03-11,15.192202189539582
2022-03-12,15.135285817179644
2022-03-13,15.086058420112687
2022-03-14,15.03519637528454
2022-03-15,14.982065486544885
2022-03-16,14.98335961807468
2022-03-17,14.989986382251814
2022-03-18,14.995863679555187
2022-03-19,15.003277222578806
2022-03-20,14.99471977494202
2022-03-21,14.99846940096231
2022-03-22,15.002158622482565
2022-03-23,15.000007058211054
2022-03-24,14.864684637848285
2022-03-25,14.70587639740858
2022-03-26,14.562405509672391
2022-03-27,14.412620397581108
2022-03-28,14.26151704813249
2022-03-29,14.114226674695452
2022-03-30,14.017889841768408
2022-03-31,13.936595099599138
2022-04-01,13.853492666638878
2022-04-02,13.756969998350732
2022-04-03,13.664694258823914
2022-04-04,13.574734823881016
2022-04-05,13.472478257214227
2022-04-06,13.311737025868354
2022-04-07,13.155091433539448
2022-04-08,12.99229032015517
2022-04-09,12.828153599184432
2022-04-10,12.672752647001694
2022-04-11,12.50598430982184
2022-04-12,12.336162571891355
2022-04-13,12.320672755798752
2022-04-14,12.309285675285755
2022-04-15,12.307854074576504
2022-04-16,12.30141087316445
2022-04-17,12.289277817038196
2022-04-18,12.283268467830233
2022-04-19,12.249929994076368
2022-04-20,12.231955545969718
2022-04-21,12.216369128735105
2022-04-22,12.199883886697217
2022-04-23,12.178684106398464
2022-04-24,12.147208722557998
2022-04-25,12.122840131534062
2022-04-26,12.09824078651804
2022-04-27,12.156737482176872
2022-04-28,12.21694015711988
2022-04-29,12.26781792386378
2022-04-30,12.327018305684284
2022-05-01,12.389591695827058
2022-05-02,12.456786166968593
2022-05-03,12.501080389883109
2022-05-04,12.555233311831238
2022-05-05,12.538962184379097
2022-05-06,12.52637888125622
2022-05-07,12.499154223776593
2022-05-08,12.487310160198753
2022-05-09,12.479348616691858
2022-05-10,12.451290091121244
2022-05-11,12.530803028796576
2022-05-12,12.537742086474031
2022-05-13,12.568303350924104
2022-05-14,12.594572566402611
2022-05-15,12.623104936827607
2022-05-16,12.637976445775736
